Timestamp,Round_Type,Test_Name,Energy_Joules,Duration_Sec,Power_Avg_Watts
2026-02-12T18:11:08.060234,actual,speedometer,105.04030381155013,14.732748,7.12971563835546
2026-02-12T18:11:27.109948,actual,speedometer,109.07063334989552,14.725917,7.406712488593784
2026-02-12T18:11:50.873650,actual,jetstream,275.80970402574536,14.74117,18.710163713310774
2026-02-12T18:12:09.635562,actual,control,97.1076288518906,14.657088,6.625301618704247
2026-02-12T18:12:32.820161,actual,jetstream,278.78003378725055,14.717267,18.942377941994973
2026-02-12T18:12:56.298106,actual,motionmark,170.76536995506282,14.710098,11.608717355592248
2026-02-12T18:13:19.749746,actual,motionmark,175.9424703626632,14.7377405,11.938225561962039
2026-02-12T18:13:39.146828,actual,speedometer,102.23001938629147,14.771693,6.9206704597970905
2026-02-12T18:14:02.546339,actual,motionmark,210.20350742244716,14.7123165,14.287587370924705
2026-02-12T18:14:25.629780,actual,jetstream,373.37227052497855,14.746545,25.319304998220165
2026-02-12T18:14:48.967464,actual,motionmark,282.05784597587575,14.701141,19.18611936147512
2026-02-12T18:15:07.906917,actual,control,159.9257286334038,14.682014,10.892628806470542
2026-02-12T18:15:31.608892,actual,jetstream,278.0560725126267,14.765563,18.83138980292365
2026-02-12T18:15:50.525944,actual,control,105.90104447269442,14.69356,7.207310173483786
2026-02-12T18:16:09.276876,actual,control,104.94196163892747,14.668681,7.154151190480417
2026-02-12T18:16:32.391742,actual,jetstream,281.51998832225803,14.739785,19.09932799713551
2026-02-12T18:16:55.695489,actual,motionmark,223.49531162643433,14.711076,15.192315750828445
2026-02-12T18:17:14.845742,actual,speedometer,115.84377299547195,14.756268,7.850479063911821
2026-02-12T18:17:33.558631,actual,control,91.33653440427784,14.667236,6.227249251616176
2026-02-12T18:17:52.571052,actual,speedometer,109.64768348789211,14.722256,7.447750092641516
2026-02-12T18:18:11.338517,actual,control,94.09336061525343,14.713919,6.394853785402341
2026-02-12T18:18:34.568153,actual,jetstream,282.4718373818398,14.7372875,19.167152529380985
2026-02-12T18:18:58.016437,actual,motionmark,174.05055601596834,14.745384,11.803731663818883
2026-02-12T18:19:21.517111,actual,motionmark,180.2354857444763,14.722141,12.242477893974545
2026-02-12T18:19:40.375901,actual,control,90.32192000627518,14.713416,6.138745754641558
2026-02-24T20:51:15.206292,warmup,control,0.07635498046875,0.20232031,0.3773965177729809
2026-02-24T20:51:38.002936,warmup,control,0.0906524658203125,0.2023978,0.4478925453750609
